q,s,sigma,z,delta_b,delta_a
-9,90,0.1,-1,1.07396,0.216814
-9,90,0.1,0,1.07396,0.216814
-9,90,0.1,1,1.07396,0.216814
-9,90,0.131034,-1,1.07396,0.216814
-9,90,0.131034,0,1.07396,0.216814
-9,90,0.131034,1,1.07396,0.216814
-9,90,0.162069,-1,1.07396,0.216814
-9,90,0.162069,0,1.07396,0.216814
-9,90,0.162069,1,1.07396,0.216814
-9,90,0.193103,-1,1.07396,0.216814
-9,90,0.193103,0,1.07396,0.216814
-9,90,0.193103,1,1.07396,0.216814
-9,90,0.224138,-1,1.07396,0.216814
-9,90,0.224138,0,1.07396,0.216814
-9,90,0.224138,1,1.07396,0.216814
-9,90,0.255172,-1,1.07396,0.216814
-9,90,0.255172,0,1.07396,0.216814
-9,90,0.255172,1,1.07396,0.216814
-9,90,0.286207,-1,1.07396,0.216814
-9,90,0.286207,0,1.07396,0.216814
-9,90,0.286207,1,1.07396,0.216814
-9,90,0.317241,-1,1.07396,0.216814
-9,90,0.317241,0,1.07396,0.216814
-9,90,0.317241,1,1.07396,0.216814
-9,90,0.348276,-1,1.07396,0.216814
-9,90,0.348276,0,1.07396,0.216814
-9,90,0.348276,1,1.07396,0.216814
-9,90,0.37931,-1,1.07396,0.216814
-9,90,0.37931,0,1.07396,0.216814
-9,90,0.37931,1,1.07396,0.216814
-9,90,0.410345,-1,1.07396,0.216814
-9,90,0.410345,0,1.07396,0.216814
-9,90,0.410345,1,1.07396,0.216814
-9,90,0.441379,-1,1.07396,0.216814
-9,90,0.441379,0,1.07396,0.216814
-9,90,0.441379,1,1.07396,0.216814
-9,90,0.472414,-1,1.07396,0.216814
-9,90,0.472414,0,1.07396,0.216814
-9,90,0.472414,1,1.07396,0.216814
-9,90,0.503448,-1,1.07396,0.216814
-9,90,0.503448,0,1.07396,0.216814
-9,90,0.503448,1,1.07396,0.216814
-9,90,0.534483,-1,1.07396,0.216814
-9,90,0.534483,0,1.07396,0.216814
-9,90,0.534483,1,1.07396,0.216814
-9,90,0.565517,-1,1.07396,0.216814
-9,90,0.565517,0,1.07396,0.216814
-9,90,0.565517,1,1.07396,0.216814
-9,90,0.596552,-1,1.07396,0.216814
-9,90,0.596552,0,1.07396,0.216814
-9,90,0.596552,1,1.07396,0.216814
-9,90,0.627586,-1,1.07396,0.216814
-9,90,0.627586,0,1.07396,0.216814
-9,90,0.627586,1,1.07396,0.216814
-9,90,0.658621,-1,1.07396,0.216814
-9,90,0.658621,0,1.07396,0.216814
-9,90,0.658621,1,1.07396,0.216814
-9,90,0.689655,-1,1.07396,0.216814
-9,90,0.689655,0,1.07396,0.216814
-9,90,0.689655,1,1.07396,0.216814
-9,90,0.72069,-1,1.07396,0.216814
-9,90,0.72069,0,1.07396,0.216814
-9,90,0.72069,1,1.07396,0.216814
-9,90,0.751724,-1,1.07396,0.216814
-9,90,0.751724,0,1.07396,0.216814
-9,90,0.751724,1,1.07396,0.216814
-9,90,0.782759,-1,1.07396,0.216814
-9,90,0.782759,0,1.07396,0.216814
-9,90,0.782759,1,1.07396,0.216814
-9,90,0.813793,-1,1.07396,0.216814
-9,90,0.813793,0,1.07396,0.216814
-9,90,0.813793,1,1.07396,0.216814
-9,90,0.844828,-1,1.07396,0.216814
-9,90,0.844828,0,1.07396,0.216814
-9,90,0.844828,1,1.07396,0.216814
-9,90,0.875862,-1,1.07396,0.216814
-9,90,0.875862,0,1.07396,0.216814
-9,90,0.875862,1,1.07396,0.216814
-9,90,0.906897,-1,1.07396,0.216814
-9,90,0.906897,0,1.07396,0.216814
-9,90,0.906897,1,1.07396,0.216814
-9,90,0.937931,-1,1.07396,0.216814
-9,90,0.937931,0,1.07396,0.216814
-9,90,0.937931,1,1.07396,0.216814
-9,90,0.968966,-1,1.07396,0.216814
-9,90,0.968966,0,1.07396,0.216814
-9,90,0.968966,1,1.07396,0.216814
-9,90,1,-1,1.07396,0.216814
-9,90,1,0,1.07396,0.216814
-9,90,1,1,1.07396,0.216814
-9,90.4082,0.1,-1,1.0759,0.21487
-9,90.4082,0.1,0,1.0759,0.21487
-9,90.4082,0.1,1,1.0759,0.21487
-9,90.4082,0.131034,-1,-nan,-nan
-9,90.4082,0.131034,0,-nan,-nan
-9,90.4082,0.131034,1,-nan,-nan
-9,90.4082,0.162069,-1,nan,nan
-9,90.4082,0.162069,0,nan,nan
-9,90.4082,0.162069,1,nan,nan
-9,90.4082,0.193103,-1,-nan,-nan
-9,90.4082,0.193103,0,-nan,-nan
-9,90.4082,0.193103,1,-nan,-nan
-9,90.4082,0.224138,-1,nan,nan
-9,90.4082,0.224138,0,nan,nan
-9,90.4082,0.224138,1,nan,nan
-9,90.4082,0.255172,-1,-nan,-nan
-9,90.4082,0.255172,0,-nan,-nan
-9,90.4082,0.255172,1,-nan,-nan
-9,90.4082,0.286207,-1,nan,nan
-9,90.4082,0.286207,0,nan,nan
-9,90.4082,0.286207,1,nan,nan
